Transcript stable ID version	Chromosome/scaffold name	Strand	Transcription start site (TSS)
ENST00000261667.8	13	-1	49792682
ENST00000239878.9	13	1	38349851
ENST00000261574.10	13	1	97953675
ENST00000383432.8	18	1	9475513
ENST00000415083.7	18	-1	26090613
ENST00000349995.10	13	1	45464939
ENST00000586040.5	18	-1	47896811
ENST00000590954.5	18	-1	56651128
ENST00000267339.6	13	-1	110915069
ENST00000603993.1	13	-1	110893132
ENST00000310847.8	13	-1	110915006
ENST00000380680.5	13	-1	29850617
ENST00000290299.7	21	-1	33915804
ENST00000299608.7	18	-1	68715108
ENST00000269187.10	18	-1	36129340
ENST00000258662.3	13	1	48037726
ENST00000258648.7	13	-1	48095104
ENST00000378586.5	13	-1	48095131
ENST00000332859.11	21	-1	44818062
ENST00000352957.9	21	-1	25607481
ENST00000378720.8	13	-1	46797161
ENST00000376547.7	13	-1	98521998
ENST00000397517.6	13	-1	98577151
ENST00000291572.13	21	1	43865223
ENST00000291576.12	21	1	44107399
ENST00000246194.8	20	1	33993911
ENST00000442805.1	20	1	34029861
ENST00000370873.9	20	-1	62143394
ENST00000370858.3	20	-1	62143430
ENST00000376925.8	20	-1	23637955
ENST00000398409.1	20	-1	23638473
ENST00000266069.5	20	1	62938147
ENST00000380276.6	21	-1	43107565
ENST00000291552.9	21	-1	43107570
ENST00000256433.6	18	-1	47176364
ENST00000374980.3	20	-1	34112243
ENST00000371711.4	20	-1	49713878
ENST00000346166.7	13	-1	26221842
ENST00000343986.9	20	1	62387103
ENST00000377453.9	13	1	76992081
ENST00000355619.10	13	-1	77027159
ENST00000340344.4	21	1	42893268
ENST00000354250.7	21	1	42893309
ENST00000279068.11	20	1	62122475
ENST00000381401.11	X	-1	1392113
ENST00000355801.4	13	-1	75537841
ENST00000378060.9	13	-1	52450634
ENST00000343788.10	13	1	52652839
ENST00000399697.7	13	1	27621779
ENST00000302979.5	13	1	27621892
ENST00000399696.3	13	1	27621954
ENST00000253003.7	20	1	62302997
ENST00000350028.5	22	1	43955442
ENST00000243918.10	20	1	45363156
ENST00000337537.8	14	-1	63543377
ENST00000356091.11	20	1	58692800
ENST00000216264.13	22	-1	46738252
ENST00000359139.7	22	1	50343304
ENST00000401672.7	22	1	50419442
ENST00000243997.8	20	-1	59032335
ENST00000355937.9	20	-1	59042786
ENST00000342374.5	20	-1	44522070
ENST00000309594.5	13	1	21176658
ENST00000255174.3	20	-1	44210771
ENST00000389704.4	13	1	37000786
ENST00000539616.6	14	1	60734776
ENST00000557134.1	14	1	60811987
ENST00000244020.5	20	1	43457896
ENST00000377452.4	20	1	18588054
ENST00000332556.5	13	1	113297239
ENST00000375370.10	13	1	113584753
ENST00000342745.5	14	1	69611596
ENST00000370339.8	20	-1	63216131
ENST00000256854.10	18	-1	57621836
ENST00000298130.5	14	-1	34462240
ENST00000544440.7	13	-1	77327094
ENST00000429715.1	13	-1	77087514
ENST00000216038.6	22	-1	32412247
ENST00000361479.10	13	1	19633659
ENST00000298818.12	14	1	74493756
ENST00000376052.5	13	1	102596986
ENST00000381736.8	13	1	25301625
ENST00000375571.6	20	1	32819954
ENST00000424358.1	20	-1	35278129
ENST00000380155.4	X	1	16719612
ENST00000382533.9	13	1	21140119
ENST00000467636.1	13	1	21140886
ENST00000215829.8	22	1	24555999
ENST00000322897.11	18	1	10526027
ENST00000380325.4	20	1	3046052
ENST00000378578.9	X	-1	37847571
ENST00000349048.9	21	1	44300053
ENST00000354488.8	20	-1	3204682
ENST00000376980.8	10	-1	22003730
ENST00000345496.7	21	-1	44801820
ENST00000356221.8	13	1	114234897
ENST00000215832.11	22	-1	21867645
ENST00000330938.8	21	-1	44873690
ENST00000432901.4	20	1	18137863
ENST00000217652.8	18	1	3247801
ENST00000536605.1	18	1	3252275
ENST00000378438.9	X	1	40580958
ENST00000237500.10	18	1	3262133
ENST00000261700.8	14	1	51989546
ENST00000372409.8	20	1	45934683
ENST00000400137.9	20	-1	1393054
ENST00000381719.8	20	-1	1393123
ENST00000347546.8	X	1	54807747
ENST00000375058.5	X	1	54808371
ENST00000248929.14	22	1	40370594
ENST00000284971.8	21	-1	25734904
ENST00000400090.7	21	-1	25735639
ENST00000400093.3	21	-1	25735673
ENST00000397641.8	22	-1	30968774
ENST00000445980.5	22	-1	30932894
ENST00000302418.5	10	-1	32056425
ENST00000261303.13	14	1	90256553
ENST00000217402.3	20	1	33811348
ENST00000337344.9	13	-1	113208669
ENST00000460006.6	20	1	5127008
ENST00000265857.8	7	1	876554
ENST00000163416.7	14	1	92794305
ENST00000301678.7	16	1	234846
ENST00000216160.11	22	1	39399780
ENST00000446419.6	20	-1	32743455
ENST00000325301.7	22	1	39502290
ENST00000217131.6	20	-1	59007254
ENST00000334678.8	22	-1	39532748
ENST00000253413.10	22	-1	17628749
ENST00000361337.3	20	1	41028822
ENST00000379540.8	9	1	33290516
ENST00000318524.6	9	1	33290545
ENST00000389879.9	14	1	99481409
ENST00000422982.8	10	-1	80205537
ENST00000331768.10	14	-1	99480859
ENST00000318158.11	9	1	37422696
ENST00000336812.5	4	-1	24584554
ENST00000270142.11	21	1	31659693
ENST00000374078.5	20	1	35699272
ENST00000374077.8	20	1	35699405
ENST00000373212.6	X	1	81202102
ENST00000339600.6	7	-1	10940153
ENST00000395314.8	14	1	55580207
ENST00000377798.9	9	1	37485948
ENST00000217958.8	X	-1	108091542
ENST00000340473.8	13	1	45120510
ENST00000530705.6	13	-1	45341183
ENST00000379056.5	13	-1	45341212
ENST00000379055.5	13	-1	45341158
ENST00000309246.9	13	-1	45341086
ENST00000216252.4	22	-1	41468692
ENST00000216259.8	22	-1	41589840
ENST00000263256.7	22	-1	41621043
ENST00000262367.10	16	-1	3880713
ENST00000218364.5	X	1	136497592
ENST00000358935.3	10	1	92291167
ENST00000356413.5	X	1	70133447
ENST00000309117.11	21	-1	37267334
ENST00000372622.8	20	1	45791954
ENST00000375446.5	9	-1	93134251
ENST00000250498.9	14	-1	22589224
ENST00000340855.11	X	-1	149505306
ENST00000406520.7	22	1	19951503
ENST00000262370.12	16	1	4624826
ENST00000255764.4	5	-1	6378547
ENST00000371828.7	20	-1	49188367
ENST00000360426.8	20	-1	49188367
ENST00000369713.10	10	1	104254892
ENST00000370487.5	20	1	62796473
ENST00000602402.6	13	1	95677139
ENST00000290291.10	20	1	62804835
ENST00000370461.5	20	1	62805886
ENST00000358015.8	9	1	107283279
ENST00000357575.8	18	-1	79951638
ENST00000397778.7	18	-1	79951653
ENST00000291577.11	21	1	44133683
ENST00000331272.9	10	-1	101695170
ENST00000579408.5	18	-1	49491840
ENST00000578532.5	18	-1	49492432
ENST00000361611.11	14	-1	23034900
ENST00000319074.6	14	1	23095505
ENST00000554203.1	14	1	23095525
ENST00000375147.8	9	1	97633821
ENST00000341657.9	17	-1	4263979
ENST00000320849.9	20	1	36236478
ENST00000269195.6	18	1	35581740
ENST00000354200.5	20	-1	462533
ENST00000381692.6	21	1	33543052
ENST00000300278.8	21	1	33543064
ENST00000381679.8	21	1	33543065
